Ya know I just found out that I snore so loudly, it scares everyone in the car I'm driving	2018-04-09 00:00:00
"Hey why don't you ever see elephants hiding in trees?
It's because they're really good at it"	2018-04-10 00:00:00
"So this guy walks into a library is asks the librarian ""I'd like the fish and chips.""
She says ""Sir, this is a library.""
So he whispers ""I'd like the fish and chips"""	2018-04-11 00:00:00
It's hard to explain puns to kleptomaniacs because they're always taking things literally	2018-04-12 00:00:00
"Hey what's blue and smells like red paint?
Blue paint"	2018-04-13 00:00:00
So I was standing there in the park, wondering why that frisbee looked like it was getting bigger, and then it hit me!	2018-04-14 00:00:00
"Hey ya know people say that smoking causes diseases
But it actually cures salmon"	2018-04-15 00:00:00
Yo so the world tongue twister champion got arrested yesterday.  I hear they're gonna give him a really tough sentence	2018-04-16 00:00:00
"A Ham Sandwich walks into a bar. The bartender says ""I'm sorry, We don't serve food here""."	2018-04-17 00:00:00
I find a duck's opinion of me is very much influenced over whether or not I have bread	2018-04-18 00:00:00
"And god said unto John ""Come forth, and ye shall receive eternal life""
But John came in fifth, and only won a toaster"	2018-04-19 00:00:00
Some people are afraid of heights.  Not me, I'm afraid of widths	2018-04-20 00:00:00
"You know how birds fly in a V all the time?
You ever wonder why one side is always shorter than the other?
It's cause there are fewer birds in it"	2018-04-21 00:00:00
"Ya know there's JVC, Panasonic, Toshiba.
Man, what's with all these stereotypes?"	2018-04-22 00:00:00
"What do you call a cow without legs?
Ground beef"	2018-04-24 00:00:00
"Saying ""I'm sorry"" means the same thing as ""I apologize""
Except at a funeral"	2018-04-25 00:00:00
"Hey yo once I saw a sign that said ""Watch for children"" and I thought that sounded like a fair trade"	2018-04-27 00:00:00
Ya know I own the absolute worst thesaurus.  Not only is it terrible, but it's terrible	2018-04-29 00:00:00
"What would you do if you cracked an egg for breakfast and a mouse came out and then time froze and God came down and said to forget what you saw or else?
I'd tell everyone, but I'd make it seem like a joke"	2018-04-30 00:00:00
"Can a kangaroo jump higher than a house?
Of course not, a house can't jump at all"	2018-05-01 00:00:00
"Why couldn't the bicycle stand up on its own?
Because it was two-tired"	2018-05-02 00:00:00
I wouldn't buy anything with velcro. It's a total rip-off	2018-05-03 00:00:00
